date,Cash_Rate,Housing_Credit,Owner_Credit,Investor_Credit
2019-07-31,1.0,4.05,3.8,4.3
2019-08-31,1.0,4.05,3.8,4.3
2019-09-30,1.0,4.05,3.8,4.3
2019-10-31,0.75,3.9,3.7,4.1
2019-11-30,0.75,3.85,3.7,4.0
2019-12-31,0.75,3.8,3.6,4.0
2020-01-31,0.75,3.8,3.6,4.0
2020-02-29,0.75,3.8,3.6,4.0
2020-03-31,0.25,3.5999999999999996,3.4,3.8
2020-04-30,0.25,3.5,3.3,3.7
2020-05-31,0.25,3.5,3.3,3.7
2020-06-30,0.25,3.45,3.3,3.6
2020-07-31,0.25,3.4000000000000004,3.2,3.6
2020-08-31,0.25,3.4000000000000004,3.2,3.6
2020-09-30,0.25,3.35,3.2,3.5
2020-10-31,0.25,3.3,3.1,3.5
2020-11-30,0.1,3.25,3.1,3.4
2020-12-31,0.1,3.25,3.1,3.4
2021-01-31,0.1,3.2,3.0,3.4
2021-02-28,0.1,3.15,3.0,3.3
2021-03-31,0.1,3.0999999999999996,2.9,3.3
2021-04-30,0.1,3.0999999999999996,2.9,3.3
2021-05-31,0.1,3.0999999999999996,2.9,3.3
2021-06-30,0.1,3.0,2.8,3.2
2021-07-31,0.1,3.0,2.8,3.2
2021-08-31,0.1,3.0,2.8,3.2
2021-09-30,0.1,2.95,2.8,3.1
2021-10-31,0.1,2.9000000000000004,2.7,3.1
2021-11-30,0.1,2.9000000000000004,2.7,3.1
2021-12-31,0.1,2.85,2.7,3.0
2022-01-31,0.1,2.85,2.7,3.0
2022-02-28,0.1,2.85,2.7,3.0
2022-03-31,0.1,2.8,2.6,3.0
2022-04-30,0.1,2.8,2.6,3.0
2022-05-31,0.35,2.95,2.8,3.1
2022-06-30,0.85,3.25,3.1,3.4
2022-07-31,1.35,3.55,3.4,3.7
2022-08-31,1.85,3.9,3.7,4.1
2022-09-30,2.35,4.2,4.0,4.4
2022-10-31,2.6,4.35,4.2,4.5
2022-11-30,2.85,4.550000000000001,4.4,4.7
2022-12-31,3.1,4.75,4.6,4.9
2023-01-31,3.1,4.75,4.6,4.9
2023-02-28,3.35,4.85,4.7,5.0
2023-03-31,3.6,5.050000000000001,4.9,5.2
2023-04-30,3.6,5.050000000000001,4.9,5.2
2023-05-31,3.85,5.3,5.1,5.5
2023-06-30,4.1,5.550000000000001,5.4,5.7
2023-07-31,4.1,5.550000000000001,5.4,5.7
2023-08-31,4.1,5.65,5.5,5.8
2023-09-30,4.1,5.65,5.5,5.8
2023-10-31,4.1,5.75,5.6,5.9
2023-11-30,4.35,5.949999999999999,5.8,6.1
2023-12-31,4.35,6.050000000000001,5.9,6.2
2024-01-31,4.35,6.050000000000001,5.9,6.2
2024-02-29,4.35,6.050000000000001,5.9,6.2
2024-03-31,4.35,6.15,6.0,6.3
2024-04-30,4.35,6.15,6.0,6.3
2024-05-31,4.35,6.2,6.0,6.4
2024-06-30,4.35,6.2,6.0,6.4
2024-07-31,4.35,6.25,6.1,6.4
2024-08-31,4.35,6.25,6.1,6.4
2024-09-30,4.35,6.25,6.1,6.4
2024-10-31,4.35,6.3,6.1,6.5
2024-11-30,4.35,6.3,6.1,6.5
2024-12-31,4.35,6.3,6.1,6.5
2025-01-31,4.35,6.35,6.2,6.5
2025-02-28,4.1,6.15,6.0,6.3
2025-03-31,4.1,6.15,6.0,6.3
2025-04-30,4.1,6.15,6.0,6.3
2025-05-31,3.85,5.949999999999999,5.8,6.1
2025-06-30,3.85,5.9,5.8,6.0
2025-07-31,3.85,5.9,5.8,6.0
2025-08-31,3.6,5.65,5.5,5.8
2025-09-30,3.6,5.65,5.5,5.8
2025-10-31,3.6,5.65,5.5,5.8
2025-11-30,3.6,5.65,5.5,5.8
